Title,Publish Date,Keywords,URL
US revokes nearly 1500 student visas: Who are the targets?,2025-04-18,"visa, revoked, students, name, nationality, legal status, institution, arrest date, case status",https://www.aljazeera.com/amp/news/2025/4/18/us-revokes-nearly-1500-student-visas-who-are-the-targets
Data trumps: Student visa revocations in numbers,,"visa, revoked, state, institution, public/private, international",https://thepienews.com/data-trumps-student-visa-revocations-in-numbers/
Reports of actions targeting international students,,"visa, revoked, state, institution, public/private, international",https://www.nafsa.org/reports-of-actions-targeting-international-students
How many student visas revoked?,,"visa, revoked, state, institution, public/private, international",https://www.theguardian.com/us-news/2025/apr/10/how-many-student-visas-revoked
