Title,Publish Date,Keywords,URL
"US revokes nearly 1,700 student visas: Who are the targets?",2025-04-18,"student visas, visa revocation, international students, protests, Trump administration",https://www.aljazeera.com/news/2025/4/18/us-revokes-nearly-1500-student-visas-who-are-the-targets
Data: Trump's student visa terminations in numbers,2025-04-24,"SEVIS terminations, international students, visa revocations, Trump administration, data analysis",https://thepienews.com/data-trumps-student-visa-revocations-in-numbers/
NAFSA Releases Initial Analysis of Visa Revocations and other Actions Targeting International Students and Scholars,2025-04-10,"NAFSA, visa revocations, SEVIS terminations, international students, policy analysis",https://www.nafsa.org/reports-of-actions-targeting-international-students
"US government has revoked more than 600 student visas, data shows",2025-04-10,"student visas, visa revocation, international students, protests, Trump administration",https://www.theguardian.com/us-news/2025/apr/10/how-many-student-visas-revoked
